OBJECTID,Identificador unico de la unidad de planeamiento,Tipo de unidad de planeamiento,Nombre de la unidad de planeamiento,Acto administrativo de la unidad de planeamiento,Area de la unidad de planeamiento,coord_x,coord_y
129,UPZ100,1,GALERIAS,Dcto. 621-29/12/2006 (Gaceta 456/2007),2375681.13094208,"-74,07208281899997","4,642903876652436"
130,UPZ83,1,LAS MARGARITAS,,1472415.46489416,"-74,1781751275","4,637752138652276"
131,UPZ107,1,QUINTA PAREDES,"Dcto. 086-8/03/2011 Modificatorio del 1096-26/12/2000, 227-22/03/2001 Mod.=Res 496/2008, Dec 154/2009",1739559.54055704,"-74,0902518645","4,631541124152076"
132,UPZ101,1,TEUSAQUILLO,Dcto. 492-26/10/2007  Mod.=Res 253/2009 (Gaceta 516/2009),2357007.97363136,"-74,075133155","4,626522263151916"
133,UPZ91,1,SAGRADO CORAZON,Dcto. 492-26/10/2007  Mod.=Res 249/2009 (Gaceta 516/2009),1461892.7367072,"-74,0639951005","4,6192456991516915"
134,UPZ81,1,GRAN BRITALIA,Dcto. 217-13/07/2005 (Gaceta 373/2005),1799021.0385315,"-74,17561830950001","4,619844134151707"
135,UPZ108,1,ZONA INDUSTRIAL,Dcto. 317-26/07/2011 Modific¢ el 062-14/02/2007 (Gaceta 464/2007) Mod.=Res 1597/2009,3469535.22939928,"-74,09508479050001","4,616903908151588"
136,UPZ75,1,FONTIBON,,4964574.37426624,"-74,14341665949999","4,676983522653555"
137,UPZ22,1,DOCE DE OCTUBRE,Dcto. 287-23/08/2005 (Gaceta 380/2005),3362551.07978832,"-74,07832211249999","4,671245890153368"
138,UPZ114,1,MODELIA,Dcto. 903-04/12/2001 Mod.=Res 940/2006 (Gaceta 443/2006),2615813.655183,"-74,1234108855","4,666632895153214"
139,UPZ103,1,PARQUE SALITRE,Dcto. 255-26/08/2004,1652469.08483648,"-74,0856100805","4,66194230215307"
140,UPZ105,1,JARDIN BOTANICO,,1617052.11764096,"-74,1015699845","4,6621145201530645"
141,UPZ88,1,EL REFUGIO,"Dcto. 059-14/02/2007 modific¢ el 075-20/03/2003 Mod=Res 1000/2007,1062/2007,0612/2008,2475y2476/2009",3359784.85907734,"-74,04600417649999","4,664795523653169"
142,UPZ27,1,SUBA,"Dcto. 615-29/12/2006 (Gaceta 454/2007) Mod.=Res 0476/2008 (Gaceta 499/2008), Res 1133/2006 y 1291/2010",6529011.30738976,"-74,089086987","4,7509422776559695"
143,UPZ72,1,BOLIVIA,Dcto. 309-27/09/2004 Mod.= Circular No. 001/2008 (Gaceta 511/2008),4745041.59406224,"-74,115891533","4,72401293065507"
144,UPZ15,1,COUNTRY CLUB,Dcto. 128-11/04/2002,2856068.35550636,"-74,0432598075","4,711196854654679"
145,UPZ16,1,SANTA BARBARA,"Dcto. 1095-26/12/2000,227-22/03/2001 Mod.=Res 761/2007 (Gaceta 488/2008)",4586983.20974176,"-74,04506208599997","4,695822588154174"
146,UPZ21,1,LOS ANDES,Dcto. 188-21/06/2005 (Gaceta 367/2005) Mod.=Res 440/2007 (Gaceta 474/2007),2748166.45781722,"-74,06813489849998","4,681794592153706"
147,UPZ89,1,SAN ISIDRO - PATIOS,,1130182.34339996,"-74,0183858545","4,6684136641532685"
148,UPZ106,1,LA ESMERALDA,Dcto. 928-21/12/2001 Mod.=Decreto 344/2007,1928784.82398022,"-74,08694999100001","4,647636108152605"
149,UPZ86,1,EL PORVENIR,Dcto. 410-23/12/2004,4610321.2129408,"-74,19244143700001","4,64179392215242"
150,UPZ82,1,PATIO BONITO,Dcto. 398-15/12/2004 Mod.=Dec 337/2009 (gaceta 536/2009),3173216.61523776,"-74,16916711049998","4,641257053152403"
151,UPZ99,1,CHAPINERO,Dcto. 468-20/11/2006 (Gaceta 447/2006)  Mod.=Res 1021/2005,1593025.30679136,"-74,062814068","4,639034304152331"
152,UPZ109,1,CIUDAD SALITRE ORIENTAL,"Dcto. 324-11/10/2004 Mod.=Res 5652/2000, 443/2004, 113/2007, 560/2007 (Gacetas 465 de 2007, 475 de 2007)",1805296.56927462,"-74,10144534649999","4,644015331652473"
153,UPZ90,1,PARDO RUBIO,"Dcto. 614-29/12/2006 (Gaceta 453/2007) Mod.=Res 1138/2006, Res 1000/2007 (Gaceta 499/2008)",2851990.05157191,"-74,055576935","4,637899222152306"
154,UPZ33,1,SOSIEGO,Dcto. 382-23/11/2004,2349163.44850112,"-74,08625979850001","4,579331782650375"
155,UPZ111,1,PUENTE ARANDA,"Dcto. 317-26/07/2011 Mod el 062-14/02/2007 (Gac 464/2007) Mod=Res733/2007,732/2008 (Gac480/2007,504/2008)",3564474.29990944,"-74,1069331745","4,635427204152204"
156,UPZ102,1,LA SABANA,"Dcto. 187-17/05/2002 Mod.=Res 649/2006,348/2007,2296/2010 (Gacetas 429/2006,483/2007), Dec 335/2009",4509421.53878876,"-74,08535648700001","4,610830520651412"
157,UPZ45,1,CARVAJAL,Dcto. 251-01/08/2005 (Gaceta 377/2005),4385930.05325738,"-74,141022112","4,6070926136512735"
158,UPZ93,1,LAS NIEVES,Dcto. 492-26/10/2007,1725738.60148572,"-74,0752813565","4,605242200651212"
159,UPZ37,1,SANTA ISABEL,Dcto. 349-15/08/2002 Mod.=Res 0071/2004 (Gaceta 290/2004),2004626.73251706,"-74,09592781750001","4,599183839651026"
